CD_Name,MdHHIncE,RecycleRate
"Battery Park City, Greenwich Village & Soho",119596,0.2754226284
Chinatown & Lower East Side,40919,0.1564849238
"Chelsea, Clinton & Midtown Business Distric",92583,0.2409249979
"Murray Hill, Gramercy & Stuyvesant Town",101769,0.222046243
Upper West Side & West Side,96009,0.2568089775
Upper East Side,104602,0.2537186704
"Hamilton Heights, Manhattanville & West Harlem",41736,0.1558882094
Central Harlem,36468,0.133018108
East Harlem,30335,0.1404380708
"Washington Heights, Inwood & Marble Hill",37685,0.1496052488
"Hunts Point, Longwood & Melrose",21318,0.1041056305
"Belmont, Crotona Park East & East Tremont",22343,0.1192189599
"Concourse, Highbridge & Mount Eden",25745,0.103573015
"Morris Heights, Fordham South & Mount Hope",24517,0.1196460413
"Belmont, Crotona Park East & East Tremont",22343,0.1107129675
"Bedford Park, Fordham North & Norwood",30541,0.1364545818
"Riverdale, Fieldston & Kingsbridge",56877,0.2218902676
"Castle Hill, Clason Point & Parkchester",34779,0.1058074491
"Co-op City, Pelham Bay & Schuylerville",54685,0.2145091207
"Pelham Parkway, Morris Park & Laconia",43503,0.1635755096
"Wakefield, Williamsbridge & Woodlawn",43541,0.1825801691
Greenpoint & Williamsburg,50778,0.1416209183
Brooklyn Heights & Fort Greene,73290,0.2372046479
Bedford-Stuyvesant,36528,0.1258175294
Bushwick,38274,0.1324628078
East New York & Starrett City,33700,0.114029688
"Park Slope, Carroll Gardens & Red Hook",93969,0.3027979993
Sunset Park & Windsor Terrace,43351,0.1976966439
Crown Heights North & Prospect Heights,41075,0.1562406034
"Crown Heights South, Prospect Lefferts & Wingate",41095,0.1151190549
Bay Ridge & Dyker Heights,57006,0.2208547491
Bensonhurst & Bath Beach,48252,0.1833929802
"Borough Park, Kensington & Ocean Parkway",38215,0.1560796589
Brighton Beach & Coney Island,30159,0.1342603003
Flatbush & Midwood,41681,0.1459953841
"Sheepshead Bay, Gerritsen Beach & Homecrest",49392,0.1938019833
Brownsville & Ocean Hill,27772,0.0914637371
"East Flatbush, Farragut & Rugby",45954,0.1340020608
Canarsie & Flatlands,63106,0.1748762668
Astoria & Long Island City,50716,0.2152544328
Sunnyside & Woodside,54136,0.1983882326
Jackson Heights & North Corona,47555,0.1379194509
Elmhurst & South Corona,45661,0.1306042716
"Ridgewood, Glendale & Middle Village",54924,0.2141847027
Forest Hills & Rego Park,64372,0.2102469128
"Flushing, Murray Hill & Whitestone",51251,0.1921236638
"Briarwood, Fresh Meadows & Hillcrest",59124,0.194293149
Richmond Hill & Woodhaven,58578,0.1879871942
Howard Beach & Ozone Park,60828,0.1838977728
"Bayside, Douglaston & Little Neck",74960,0.2530636461
"Jamaica, Hollis & St. Albans",51251,0.157345354
"Queens Village, Cambria Heights & Rosedale",76002,0.1966788421
"Far Rockaway, Breezy Point & Broad Channel",46944,0.1233508922
"Port Richmond, Stapleton & Mariner's Harbor",57975,0.1967477288
New Springville & South Beach,71925,0.2114852874
"Tottenville, Great Kills & Annadale",84670,0.2103789764
